id,bai,tieude,noidung
35,JS 5.1 If,Lý thuyết,"Học sinh hiểu về khái niệm if statement và cách sử dụng nó trong các vấn đề thực tế.
Tổng quan
Các lệnh lựa chọn có 3 biến thể:
Lệnh
if
Lệnh
if...else
Lệnh
if...else if-...-else
Câu lệnh
if
đơn giản cho phép thực thi một câu lệnh nhất định hoặc một khối điều kiện, chỉ khi kết quả của biểu thức đánh giá được
thỏa mãn
:
```js
if(condition){// Do something}
```
Ví dụ
```js
if(true)console.log(""true"");//1: trueif(false)console.log(""false"");//2:int x=1,y=5;if(x>y)console.log(""x > y"");//3:if(x<y)console.log(""x < y"");//4: x < yif((x+5)>y){//5: x + 5 > yconsole.log(""x + 5 > y"");x=y;}if(x==y){//6: x == yconsole.log(""x == y"");}
```
Để chứng minh rằng dấu ngoặc nhọn cũng có thể được sử dụng với một câu lệnh, do đó tạo thành một khối lệnh chỉ gồm một câu lệnh.
Đó một cách thực hành tốt, nói chung, để có ngoặc nhọn sau
if
; điều này giúp cho việc đọc tôt hơn và giúp tránh những lỗi gây bực bội: bạn thêm một câu lệnh khác sau if, và nó sẽ được thực thi chỉ khi biểu thức trả về
true
:
```js
if(x>y)console.log(""x > y"");x=y;
```
Nhưng, câu lệnh
x = y
trong đoạn code này được thực thi vô điều kiện. Nếu bạn nghĩ rằng một lỗi như vậy không xảy ra một cách thường xuyên, bạn sẽ phải ngạc nhiên.
```js
Một bài học tốt là luôn luôn sử dụng dấu ngoặc nhọn {} với câu lệnh if.
```
Như chúng ta đã đề cập, bên trong câu lệnh điều kiện có thể bao gồm một câu lệnh điều kiện khác để tạo ra một logic chặt chẽ hơn cho luồng điều khiển:
```js
if(x>y){console.log(""x > y"");if(x==3){console.log(""x == 3"");}if(y==3){console.log(""y == 3"");console.log(""x == ""+x);}}
```
Nó có thể chứa (lồng nhau) để thỏa mãn yêu cầu về mặt logic."
36,if Else Statement,Bài tập,"Cho 3 số a, b và c. hoàn thành chương trình để in ra số lớn nhất
Ví dụ:
Cho
a = 5, b = 7, c = 1,
Kết quả in ra nên là
The greatest number is 7
Cho
a = 2, b = 2, c = 2,
Kết quả in ra nên là
The greatest number is 2
Đầu vào :
a
,
b, c
Đầu ra:
Tìm số lớn nhất và in ra màn hình với định dạng:
The greatest number is MaxNumber
Cho
a = 5, b = 7, c = 1,
Kết quả in ra nên là
The greatest number is 7
Cho
a = 2, b = 2, c = 2,
Kết quả in ra nên là
The greatest number is 2"
37,if Else Statement,Gợi ý,"Bạn nên sử dụng lệnh
if-else
để giải bài toán này.
Bạn nên học cách sử dụng lệnh
if-else
bằng cách đọc lý thuyết phía dưới."
38,if Else Statement,Lý thuyết,"Mục tiêu
Sinh viên hiểu được khái niệm về lệnh
if...else
và cách sử dụng chúng trong bài tập thực tế.
Khái quát
Cấu trúc
if...else
cho phép xử lí một khối lệnh nếu biểu thức trong
if
có giá trị là
true
, ngược lại, khối lệnh khác được xử lí:
```js
if(condition){//do something}else{//do something else}
```
Dưới đây có 2 ví dụ:
```js
varx=1,y=1;if(x==y){console.log(""x == y"");//Output: x == yx=y-1;}else{console.log(""x != y"");}if(x==y){console.log(""x == y"");}else{console.log(""x != y"");//Output: x != y}
```
Bạn có thể thấy dễ ràng hơn cho việc đọc code khi dấu
{}
được sử dụng thích hợp. Như trong phần trước của lệnh
if
, mỗi khối lệnh có thể có nhiều khối lệnh con khác với lệnh
if
khác, và cứ như thế có thể có nhiều khối lệnh con phía trong nếu cần thiết.
if...else if-...-else
Bạn có thể sử dụng hình thức này để tránh tạo ra nhiều khối lệnh con và làm code dễ để đọc và hiểu hơn. Ví dụ, xem đoạn trích lệnh sau đây:
```js
if(n>5){console.log(""n > 5"");}else{if(n==5){console.log(""n == 5"");}else{if(n==4){console.log(""n == 4"");}else{console.log(""n < 4"");}}}
```
Các lệnh
if...else
con này có thể thay thế bởi lệnh
if...else...if
như sau đây:
```js
if(n>5){console.log(""n > 5"");}elseif(n==5){console.log(""n == 5"");}elseif(n==4){console.log(""n == 4"");}else{console.log(""n < 4"");}
```
Lệnh như vậy là dễ đọc và hiểu hơn.
Nếu bạn không cần làm bất kỳ điều gì khi
n < 4
, bạn có thể bỏ qua mệnh đề
else
cuối cùng dùng để bắt trường hợp còn lại của các lựa chọn trên:
```js
if(n>5){console.log(""n > 5"");}elseif(n==5){console.log(""n == 5"");}elseif(n==4){console.log(""n == 4"");}​
```"
39,JS 5.3  Exercise  1,Bài tập,"Cho điểm 5 môn Physics, Chemistry, Biology, Mathematics and Computer. Tính toán điểm trung bình (%) và in
Grade (
cấp) theo bảng sau:
Điểm trung bình (%) >= 90% : Grade A
Điểm trung bình (%) >= 80% : Grade B
Điểm trung bình (%) >= 70% : Grade C
Điểm trung bình (%) >= 60% : Grade D
Điểm trung bình (%) >= 40% : Grade E
Điểm trung bình (%) < 40% : Grade F
Ví dụ
:
physics = 10, chemistry = 9.5, biology = 9.2, mathematics = 10, computer = 9. Thì
đ
iểm trung bình (%)
là 95.4. => Kết quả:
Grade A
Đầu vào
: physics, chemistry, biology, mathematics, computer
Đầu ra
: grade"
40,JS 5.3  Exercise  1,Gợi ý,"Điểm trung bình (%)
= ((
physics + chemistry+ biology + mathematics  +computer) / 50) * 100
Và dùng if ... else để tính grade"
41,JS 5.2 Switch Case,Gợi ý,"Đọc phần lý thuyết sau để hiểu về
swich case
trong JS"
42,JS 5.2 Switch Case,Lý thuyết,"Sinh viên hiểu về lệnh
switch...case
và cách sử dụng nó trong bài tập thực tế.
Bạn có thể dùng nhiều lệnh
if...else…if
, như đã cung cấp ở phần trước, để thực hiện 1 nhánh với nhiều lối đi. Tuy nhiên điều đó không phải là giải pháp tốt nhất,
đặc biệt là khi tất cả các nhánh phụ thuộc vào giá trị của một biến duy nhất.
```js
if(x==5){//do something}elseif(x==7){//do something else}elseif(x==12){//do something different}elseif(x=50){//do something yet more different}else{//do something completely different}
```
Tuy nhiên ở đây mỗi trường hợp xác định bằng một lệnh điều kiện, bạn có thể sử dụng lệnh
switch...case
, lệnh mà dễ đọc và hiểu hơn.
switch...case
Ví dụ lệnh trước có thể được rõ ràng hơn với lệnh
switch
như sau đây:
```js
switch(x){case5://do somethingbreak;case7://do something elsebreak;case12://do something differentbreak;case50://do something yet more differentbreak;default://do something completely different}
```
Kiểu của biểu thức là trả về giá trị của biến
x
có thể một trong các kiểu
char
,
byte
,
short
,
int
,
Character
,
Byte
,
Short
,
Integer
,
String
hoặc
enum
. Hãy chú ý từ khóa
break
, nó buộc lệnh
switch...case
dừng lại. Nếu không có nó, việc này chỉ được chấp nhận khi
case
đó không có bất kỳ một lệnh nào, ngược lại, lệnh
case
đó sẽ bị báo lỗi cú pháp. Chúng ta sẽ nói về lệnh
break
trong một khóa phía sau về
các lệnh rẽ nhánh
.
Chúng ta hãy nhìn vào phương thức cho thấy lợi ích của lệnh
switch
:
```js
switch(n+1){case1:console.log(""case 1: ""+n);break;case2:console.log(""case 2: ""+n);break;default:console.log(""default: ""+n);break;}
```
Và như mệnh đề
else
trong lệnh
if
, mệnh đề
default
không bắt buộc trong lệnh
switch
nếu nó không cần thiết cho logic chương trình:
```js
switch(n+1){case1:console.log(""case 1: ""+n);break;case2:console.log(""case 2: ""+n);}
```
Switch với nhiều trường hơp và có cũng cách sử lý
Có nhiều trường hợp một phạm vi không phải là giải pháp phù hợp, nhưng bạn cần áp dụng cùng một thực thi cho nhiều giá trị. Đây là nơi mà câu lệnh chuyển đổi có thể rất tiện dụng.
Thay vì tạo một câu lệnh if lộn xộn với nhiều đánh giá biểu thức, bạn có thể 'xếp chồng' các trường hợp.
Đây là một biến thể, tất cả đều rất đơn giản, trong ngày của ví dụ trong tuần. Ở đây tôi trình bày cách bạn có thể sử dụng câu lệnh chuyển đổi trong ứng dụng lịch.
Vi dụ:
```js
switch(expr){case'Oranges':console.log('Oranges are $0.59 a pound.');break;case'Apples':case'Papayas':console.log('Apples and Papayas are $2.79 a pound.');break;default:console.log('Sorry, we are out of '+expr+'.');}
```"
43,String Methods,Bài tập,Chạy chương trình mẫu để xem kết quả của các phương thức của chuỗi
44,String Methods,Gợi ý,Đọc phần lý thuyết để hiểu về các phương thức của chuỗi
45,String Methods,Lý thuyết,"Sinh viên biết về phương thức của chuỗi.
Danh sách các phương thức phổ biến của chuỗi
Phương thức
Mổ tả
charAt()
Nó cung cấp giá trị char hiện tại tại chỉ mục được chỉ định.
charCodeAt()
Nó cung cấp giá trị Unicode của một ký tự có trong chỉ mục được chỉ định.
concat()
Nó cung cấp một sự kết hợp của hai hoặc nhiều chuỗi.
indexOf()
Nó cung cấp vị trí của một giá trị char có trong chuỗi đã cho.
lastIndexOf()
Nó cung cấp vị trí của một giá trị char có trong chuỗi đã cho bằng cách tìm kiếm một ký tự từ vị trí cuối cùng.
search()
Nó tìm kiếm một biểu thức chính quy định trong một chuỗi đã cho và trả về vị trí của nó nếu xảy ra khớp.
match()
Nó tìm kiếm một biểu thức chính quy định trong một chuỗi đã cho và trả về biểu thức chính quy đó nếu xảy ra khớp.
replace()
Nó thay thế một chuỗi nhất định với sự thay thế được chỉ định.
substr()
Nó được sử dụng để tìm nạp một phần của chuỗi đã cho trên cơ sở vị trí và độ dài bắt đầu được chỉ định.
substring()
Nó được sử dụng để tìm nạp một phần của chuỗi đã cho trên cơ sở chỉ mục đã chỉ định.
slice()
Nó được sử dụng để tìm nạp một phần của chuỗi đã cho. Nó cho phép chúng ta gán chỉ số tích cực cũng như tiêu cực.
toLowerCase()
Nó chuyển đổi chuỗi đã cho thành chữ thường.
toLocaleLowerCase()
Nó chuyển đổi chuỗi đã cho thành chữ thường trên cơ sở ngôn ngữ hiện tại của máy chủ.
toUpperCase()
Nó chuyển đổi chuỗi đã cho thành chữ in hoa.
toLocaleUpperCase()
Nó chuyển đổi chuỗi đã cho thành chữ in hoa trên cơ sở ngôn ngữ hiện tại của máy chủ.
toString()
Nó cung cấp một chuỗi đại diện cho đối tượng cụ thể.
valueOf()
Nó cung cấp giá trị nguyên thủy của đối tượng chuỗi.
split() biến 1 chuỗi thành 1 mảng các chuỗi, bằng cách tách chuỗi theo ký tự dc chỉ định
include () xác định xem một chuỗi có thể được tìm thấy trong một chuỗi khác hay không, trả về true hoặc false khi thích hợp.
Ví dụ
```js
varstr=""JavaScript"";str.charAt(0);// returns ""J""str.charAt(str.length-1);// returns ""t""'ABC'.charCodeAt(0);// returns 65""Java"".concat(""Script"");// returns ""JavaScript""""JavaScript"".indexOf(""J"");// returns 0""JavaScript"".indexOf(""X"");// returns -1'canal'.lastIndexOf('a');// returns 3'canal'.lastIndexOf('x');// returns -1""Ab"".replace('b','a');// returns Aa""Mozilla"".substr(1,2);// returns ""oz""""Mozilla"".substr(0,4);// returns ""Mozi""""Mozilla"".substring(1,3);// returns ""oz""varstr='The quick brown fox jumps over the lazy dog.';str.slice(31);// returns ""the lazy dog.""str.slice(4,19);// returns ""quick brown fox""str.slice(-4);// returns ""dog.""""Abc"".toLowerCase();// returns ""abc""""Abc"".toUpperCase();// returns ""ABC""""The quick brown fox"".split(' ');// returns ['The', 'quick', 'brown', 'fox']""11,22"".split(',');// returns ['11', '22']str='To be, or not to be, that is the question.';str.includes('To be');// truestr.includes('question');// truestr.includes('nonexistent');// falsestr.includes('To be',1);// falsestr.includes('TO BE');// falsestr.includes('');// true
```"
46,String Exercises 02,Bài tập,"Viết function với đầu vào là 1 chuỗi. In ra 1 chuỗi được mã hóa và loại bỏ ký tự cách ở đầu và cuối chuỗi ban đầu
Ví dụ
Cho
""javascript is cool  "";
In ra
""j4v45cr1pt 15 c00l""
Cho
""programming is fun"";
In ra
""pr0gr4mm1ng 15 fun""
Cho
""  become a coder"";
In ra
""b3c0m3 4 c0d3r""
Cho
""javascript is cool  "";
In ra
""j4v45cr1pt 15 c00l""
Cho
""programming is fun"";
In ra
""pr0gr4mm1ng 15 fun""
Cho
""  become a coder"";
In ra
""b3c0m3 4 c0d3r""
Để function làm việc chính xác, Function nên thay thế tất cả các ký tự  'a' bằng 4, 'e' bằng 3, 'i' bằng 1, 'o' bằng 0, and 's' bằng 5.
Đầu vào
: str
Đầu ra
: In ra 1 chuỗi được mã hóa và loại bỏ ký tự cách ở đầu và cuối chuỗi ban đầu"
47,String Exercises 02,Gợi ý,"Đọc phần lý thuyết để hiểu hơn về 2 phương thức
replace()
và
trim()"
48,String Exercises 02,Lý thuyết,"Sinh viên hiều hơn về 2 phương thức
replace()
và
trim()
và các sử dụng chúng trong thực tế
Phương thức
trim()
xóa bỏ khoảng trắng ở đầu vào cuối chuỗi. Khoảng trắng trong trường hợp này là (Ký tự cách, tab, no-break space ...) và các ký tự kết thúc dòng  (LF, CR ...).
Cú pháp
```js
str.trim()
```
Ví dụ
```js
vargreeting='   Hello world!   ';console.log(greeting);// returns ""   Hello world!   "";console.log(greeting.trim());// returns ""Hello world!"";
```
Mở rộng về phương thức trim
Phương thức
trimStart()
/
trimLeft()
trả về 1 chuỗi đã xóa bỏ khoảng trống bên trái/bắt đấu của nó.
trimLeft()
or
trimStart()
không ảnh hưởng đến chuỗi gốc.
```js
varstr='   foo  ';console.log(str.length);// 8str=str.trimStart();console.log(str.length);// 5console.log(str);// 'foo  '
```
Phương thức
trimEnd()
/
trimRight()
trả về 1 chuỗi đã xóa bỏ khoảng trống bên phải/kết thúc của nó.
trimEnd()
or
trimRight()
không ảnh hưởng đến chuỗi gốc.
```js
varstr='   foo  ';console.log(str.length);// 8str=str.trimEnd();console.log(str.length);// 6console.log(str);// '   foo'
```
Phương thức
replace()
trả về một chuỗi mới với một số hoặc tất cả các kết quả khớp của mẫu được thay thế bằng một chuỗi thay thế khác. Mẫu có thể là một chuỗi hoặc RegExp và thay thế có thể là một chuỗi. Nếu mẫu là một chuỗi, chỉ có mẫu đầu tiên sẽ được thay thế.
Cú pháp
```js
varnewStr=str.replace(regexp|substr,newSubstr)
```
Ví dụ
```js
varstr='The quick brown fox jumps over the lazy dog. If the dog reacted, was it really lazy?';
```
Bạn sẽ thấy 2 từ ""dog"" trong biến str
Nếu bạn sử dụng 1 chuỗi làm mẫu cho phương thức replace(). Chỉ có từ ""dog"" đầu tiên dc thay thế.
```js
varstr='The quick brown fox jumps over the lazy dog. If the dog reacted, was it really lazy?';console.log(str.replace('dog','monkey'));// Returns ""The quick brown fox jumps over the lazy monkey. If the dog reacted, was it really lazy?""
```
Nếu bạn sử dụng regexp cho phương thức replace() như sau. Tất cả từ ""dog"" sẽ được thay thế.
```js
varstr='The quick brown fox jumps over the lazy dog. If the dog reacted, was it really lazy?';varregex=/dog/gi;console.log(str.replace(regex,'ferret'));// Returns ""The quick brown fox jumps over the lazy ferret. If the ferret reacted, was it really lazy?""
```"
49,String Exercises 03,Gợi ý,Đọc phần lý thuyết để biết làm thế nào để tạo 1 date trong JS
50,String Exercises 03,Lý Thuyết,"Sinh viên biết cách tạo kiểu dateime trong javascript
Tạo ra một thể hiện JavaScript Date đại diện cho một khoảnh khắc trong thời gian. Đối tượng ngày được dựa trên giá trị thời gian là số mili giây kể từ ngày 1 tháng 1 năm 1970 UTC.
Cú pháp
```js
newDate();newDate(value);newDate(dateString);newDate(year,monthIndex[,day[,hours[,minutes[,seconds[,milliseconds]]]]]);
```
Khi không có tham số nào được cung cấp, đối tượng Ngày mới được tạo sẽ biểu thị ngày và giờ hiện tại, được chỉ định trong múi giờ địa phương, kể từ thời điểm khởi tạo.
value
Giá trị số nguyên đại diện cho số mili giây kể từ 01/01/1970-00:00:00 UTC.
dateString
Giá trị chuỗi đại diện cho một ngày. Chuỗi phải ở định dạng được công nhận bới phương thức Date.parse().
year
Giá trị số nguyên đại diện cho năm. Các giá trị từ 0 đến 99 ứng với các năm từ 1900 đến 1999.
monthIndex
Giá trị số nguyên đại diện cho tháng, bắt đầu với 0 cho Tháng Một đến 11 cho Tháng Mười Hai.
day
(
Tùy chọn)
Tùy chọn. Giá trị số nguyên đại diện cho ngày trong tháng. Nếu không dc chỉ định, giá trị mặc định là 1.
hours
(
Tùy chọn)
Giá trị số nguyên đại diện cho giờ trong ngày. Mặc định là 0.
minutes
(
Tùy chọn)
Giá trị số nguyên đại diện cho phần phút của một thời gian. Mặc định là 0.
seconds
(
Tùy chọn)
Giá trị số nguyên đại diện cho phần giấy của một thời gian. Mặc định là 0.
milliseconds
(
Tùy chọn)
Giá trị số nguyên đại diện cho phần mili giây của một thời gian. Mặc định là 0.

Ví dụ:
```js
vardate1=newDate();// Current datevardate2=newDate('December 17, 1995 03:24:00');// Sun Dec 17 1995 03:24:00 GMT...vardate3=newDate('1995-12-17T03:24:00');// Sun Dec 17 1995 03:24:00 GMT...vardate=newDate(20189,9);// Thu Oct 01 20189 00:00:00 GMT...date=newDate(20189,9,25);// Sun Oct 25 20189 00:00:00 GMT ...date=newDate(20189,9,25,6);// Sun Oct 25 20189 06:00:00 GMT...
```"
51,JavaScript String includes() Method,Bài tập,"Viết 1 chương trình với đầu vào là 1 chuỗi ký tự và in ra chuỗi đó với ký tự đầu được viết hoa.
Ví dụ
Cho
""this is Test""
; In ra
""This is Test""
Cho
""hello a""
; In ra
""Hello a""
Đầu vào
: str
Đầu ra
: In ra chuỗi với ký tự đầu được viết hoa.
Cho
""this is Test""
; In ra
""This is Test""
Cho
""hello a""
; In ra
""Hello a"""
52,JavaScript String includes() Method,Gợi ý,"Sử dụng phương thức
charAt
lấy ký tự đầu tiên và sử dụng phương thức
slice
để lấy phần con lại của chuỗi
Sử dụng phương thức
toUpperCase
để viết hoa cho chữ cái đầu
Sử dụng phương thức
concat
để ghép 2 chuỗi trên lại
Đọc phần lý thuyêt để hiểu hơn về các phương thức này
Cần thận khi chuỗi đầu vào là 1 chuỗi rỗng"
53,JavaScript String includes() Method,Lý thuyết,"Sinh viên hiểu hơn về các phương thức
charAt
,
slice
,
toUpperCase
,
concat
và cách sử dụng chúng trong thức tế để giải quyết vấn đề.
Phương thức
charAt()
trả về 1 ký tự của chuỗi ở vị trị được chỉ  định mà không sửa đổi chuỗi gốc.
Cú pháp
```js
character=str.charAt(index)
```
Ví dụ
```js
varanyString='Brave new world';console.log(""The character at index 0   is '""+anyString.charAt()+""'"");// No index was provided, used 0 as defaultconsole.log(""The character at index 0   is '""+anyString.charAt(0)+""'"");console.log(""The character at index 1   is '""+anyString.charAt(1)+""'"");console.log(""The character at index 2   is '""+anyString.charAt(2)+""'"");console.log(""The character at index 999 is '""+anyString.charAt(999)+""'"");// The character at index 0   is 'B'// The character at index 0   is 'B'// The character at index 1   is 'r'// The character at index 2   is 'a'// The character at index 999 is ''
```
Phương thức
slice()
trích xuất một phần của chuỗi và trả về nó dưới dạng một chuỗi mới mà không sửa đổi chuỗi gốc.
Cú pháp
```js
str.slice(beginIndex[,endIndex])
```
Ví dụ
```js
varstr1='The morning is upon us.';console.log(str1.slice(1,8));// returns ""he morn"" create new string from index 1 to index 8 of str1console.log(str1.slice(4,-2));// returns ""morning is upon u"" create new string from index 4 to index (last index - 2) of str1console.log(str1.slice(12));// returns ""is upon us."" create new string from index 12 to end of str1console.log(str1.slice(30));// returns """" create new string from index 30 to end of str1. But the length of str1 is 23
```
Phương thức
toUpperCase()
trả về giá trị chuỗi được chuyển đổi thành chữ hoa (giá trị sẽ được chuyển đổi thành chuỗi nếu không phải là một chuỗi).
Cú pháp
```js
str.toUpperCase()
```
Ví dụ
```js
console.log('alphabet'.toUpperCase());// 'ALPHABET'
```
Phương thức
concat()
nối các đối số chuỗi với chuỗi được gọi và trả về một chuỗi mới.
Syntax
```js
str.concat(string2[,string3,...,stringN])
```
Example
```js
varstr1='Hello';varstr2='World';console.log(str1.concat(str2));// expected output: ""HelloWorld""console.log(str1.concat(' ',str2));// expected output: ""Hello World""console.log(str2.concat(', ',str1));// expected output: ""World, Hello""
```"
54,Compare Strings by Count of Characters,Bài tập,"Tạo function với 2 tham số (a và b) trả về
true
hoặc
false
phụ thuộc vào tống số ký tự của a và b. Nếu số ký tự của a bằng số ký tự của b thì trả về true nếu không trả về false
Ví dụ
Cho
a = 'AB'; b = 'CD';
trả về
true
Cho
a = 'BA'; b = 'XYZ';
trả về
false
Đầu vào
: a and b
Đầu ra:
true hoạc false; Nếu số ký tự của a bằng số ký tự của b
Cho
a = 'AB'; b = 'CD';
trả về
true
Cho
a = 'BA'; b = 'XYZ';
trả về
false"
55,Compare Strings by Count of Characters,Gợi ý,Nhớ lại thuộc tính length của string
56,String Exercises 01,Bài tập,"Viết chương trình với đầu vào là 1 chuỗi ký tự. Chuyển chuỗi đó thành chuỗi mới với các ký tự đầu tiên của từ dc viết hoa.
Ví dụ
Cho
""the quick brown fox"";
In ra ""
The Quick Brown Fox
""
Cho
""java script"";
In ra ""
Java Script
""
Đầu vào
: str
Đầu ra
: Chuyển chuỗi đó thành chuỗi mới với các ký tự đầu tiên của từ dc viết hoa
Cho
""the quick brown fox"";
In ra ""
The Quick Brown Fox
""
Cho
""java script"";
In ra ""
Java Script
"""
57,String Exercises 01,Gợi ý,"Nhờ lại function uc_first trong phần trước
Sử dụng phương thức
split
tách chuỗi đầu vào thành mảng các từ
Sử dụng
for
or
foreach
or
array.map
để duyệt mảng
Và sử dụng function uc_first để chuyển đổi các từ trong mảng
Kết hợp mảng các từ đó thách 1 chuỗi mới (Remember Array.join())"
58,String Exercises 01,Theory,"Sinh viên hiểu hơn về phương thức
split
và cách sử dụng chúng trong thực tế.
Phương thức
split()
biến một Chuỗi thành một mảng các chuỗi, bằng cách tách chuỗi theo 1 chuỗi đã chỉ định.
Cú pháp
```js
str.split([separator[,limit]])
```
Ví dụ
```js
varstr=""The quick brown fox"";varwords=str.split(' ');console.log(words);// returns [""The"", ""quick"", ""brown"", ""fox""]varword_limit=str.split(' ',2);console.log(word_limit);// returns [""The"", ""quick""][""The"",""quick""]varchars=str.split('');console.log(chars);// return [""T"", ""h"", ""e"", "" "", ""q"", ""u"", ""i"", ""c"", ""k"", "" "", ""b"", ""r"", ""o"", ""w"", ""n"", "" "", ""f"", ""o"", ""x""]varstrCopy=str.split();console.log(strCopy);// returns [""The quick brown fox""]str=""Tom,Ken,Dan"";varnames=str.split(',');console.log(names);// returns [""Tom"", ""Ken"", ""Dan""]
```"
59,String Properties,Bài tập,"Cho 1 chuỗi
name
. Viết chương trình add phương thức mới cho chuỗi để kiểm tra chuỗi là chuỗi lớn hay ko, Chuối lớn là chuỗi có trên 10 ký tự
Và in kết quả ra màn hình ""true"" hay ""false""
Ví dụ
:
name = ""JS""; in ra""false""
name = ""JavaScriptJavaScript""; in ra ""true""
name = ""JS""; in ra""false""
name = ""JavaScriptJavaScript""; in ra ""true""
Đầu vào
: name
Đầu ra
: ""true"" hay ""false"""
60,String Properties,Gợi ý,Đọc phần lý thuyết để hiểu về các thuộc tính của chuỗi
61,String Properties,Lý thuyết,"Sinh viên hiểu về các thuộc tính của chuỗi và cách sử dụng nó trong thực tế.
Các giá trị nguyên thủy, như ""John Doe"", thông thường ko thể có thuộc tính hay phương thức (vì chúng ko phải là 1 object).
Nhưng trong JS thì có vì JavaScript đối xử với các giá trị nguyên thủy như object.
1. length
Trả về độ dài của chuỗi
Độ dài của chuối rỗng là 0.
Cú pháp:
```js
string.length
```
Ví dụ:
```js
vartxt=""JS"";varsln=txt.length;// sln is 2
```
2. prototype
Cho phép bạn thêm thuộc tính hay phương thức
Lưu ý:
Thuộc tính hay phương thức này sẽ là toàn cục nghĩa là nó có thể được dùng cho tất cả chuỗi khác
Cú pháp:
```js
object.prototype.name=value
```
Ví dụ:
```js
String.prototype.add_more=function(char){returnthis+char;};vara=""Java"";varnew_string=a.add_more(""Script"");// new_string is JavaScript
```"
62,Returning Values from a Function,Bài tập,"Cho 1 chương trình mẫu.
Sử dụng function
get_abs
để lấy giá trị tuyệt đối của biến x và in ra màn hình
Đầu vào
: Không có
Đầu ra
: lấy giá trị tuyệt đối của biến x và in ra màn hình"
63,Returning Values from a Function,Gợi ý,Đọc phần lý thuyết để biết 1 fucntion trả về 1 giá trị như thế nào
64,Returning Values from a Function,Lý thuyết,"Sinh viên hiểu về việc 1 function trả về 1 giá trị như thế nào.
Một function có thể trả về một giá trị cho tập lệnh gọi function là kết quả bằng cách sử dụng câu lệnh return. Giá trị có thể thuộc bất kỳ loại nào, bao gồm mảng và đối tượng
Lệnh
return
thường được đặt là dòng cuối cùng của hàm trước dấu ngoặc nhọn đóng và kết thúc nó bằng dấu chấm phẩy, như trong ví dụ sau.
```js
// Defining functionfunctiongetSum(num1,num2){vartotal=num1+num2;returntotal;}// Displaying returned valueconsole.log(getSum(6,20));// 0utputs: 26console.log(getSum(-5,17));// 0utputs: 12
```
Function không thể trả về nhiều giá trị. Tuy nhiên, bạn có thể thu được kết quả tương tự bằng cách trả về một mảng các giá trị, như được minh họa trong ví dụ sau..
```js
// Defining functionfunctionget_name(){varname1=""Tuan"";varname2=""Phong"";varname3=""Vuong"";vararr=[name1,name2,name3];returnarr;}// Store returned value in a variablevarall=get_name();// Displaying individual valuesconsole.log(all[0]);// 0utput: Tuanconsole.log(all[1]);// 0utput: Phongconsole.log(all[2]);// 0utput: Vuong
```
Và nếu một function trả về một giá trị, nó sẽ dừng việc thực thi của function đó. Nó có nghĩa là phần còn lại của mã sẽ không được thực thi
```js
// Defining functionfunctionprint_numbers(x){if(x==1){console.log(1);return;// a function can return nothing}console.log(2);return;// a function can return nothingconsole.log(3);}// Displaying individual valuesconsole.log(print_numbers(0));// 0utput: 2console.log(print_numbers(1));// 0utput: 1
```"
65,JavaScript Functions,Bài tập,"Cho 1 chương chình mẫu. Gọi function (hàm) sayHello để in message ra màn hình
Đầu vào
: none
Đầu ra
: print message to screen"
66,JavaScript Functions,Gợi ý,Đọc phần lý thuyết để biết làm thế nào để khái báo 1 function và gọi nó
67,JavaScript Functions,Lý thuyết,"Sinh viên hiểu về khái niệm function (Hàm) và cách sử dụng nó trong các vấn đề thực tế.
Function (Hàm) là một nhóm các câu lệnh thực hiện các nhiệm vụ cụ thể và có thể được giữ và duy trì riêng biệt tạo thành chương trình chính. Các hàm cung cấp một cách để tạo các gói code(mã) có thể tái sử dụng, dễ mang theo hơn và dễ gỡ lỗi hơn. Dưới đây là một số lợi thế của việc sử dụng function:
1.
Functions giảm sự lặp lại code trong chương trình
— Function cho phép bạn trích xuất khối lệnh thường được sử dụng thành một thành phần duy nhất. Bây giờ bạn có thể thực hiện cùng một tác vụ bằng cách gọi hàm này bất cứ nơi nào bạn muốn trong tập lệnh của mình mà không phải sao chép và dán cùng một khối lệnh nhiều lần
2.
Functions giúp các dòng code dễ bảo trì hơn
— Do một function được tạo một lần có thể được sử dụng nhiều lần, do đó, mọi thay đổi được thực hiện bên trong một function sẽ tự động được thực hiện tại tất cả các vị trí mà không cần thay đổi ở nhiều nơi.
3.
Functions giúp dễ dàng hơn để loại bỏ các lỗi
— Khi chương trình được chia thành các function, nếu có lỗi xảy ra, bạn biết chính xác function nào gây ra lỗi và tìm nó ở đâu. Do đó, sửa lỗi trở nên dễ dàng hơn nhiều.
Khởi tạo 1 function bắt đầu với từ khóa
function
, tiếp theo đó là tên mà function mà bạn muốn tạo, tiếp theo là ngoặc đơn
()
và cuối cùng là nơi cách lệnh của function giữa các dấu ngoặc nhọn
{}
.
Đây là cú pháp cơ bản để khai báo hàm:
```js
functionfunctionName(){// Code to be executed}
```
Ví dụ:
```js
// Defining functionfunctionsayHello(){console.log(""Hello"");}// Calling functionsayHello();// 0utputs: Hello
```"
